"","States.Code","States","Year","total_cancer_count","avg_pm25_pop_pred","avg_o3_pop_pred"
"345",40,"Oklahoma",2007,3225,10.343151037953,41.5420215230049
"346",40,"Oklahoma",2008,3271,9.48792997454905,42.5013318887077
"347",40,"Oklahoma",2009,3019,8.88506919984085,41.2846959458005
"348",40,"Oklahoma",2010,2946,8.8903329478976,41.981510747658
"349",40,"Oklahoma",2011,3084,9.27597069035175,46.7228386289668
"350",41,"Oregon",2002,2584,8.56308953603339,35.987072328506
"351",41,"Oregon",2003,2542,8.13918329548001,37.8607302224759
"352",41,"Oregon",2004,2639,8.8091163472544,35.52780618036
"353",41,"Oregon",2005,2717,8.83333419562503,35.5523402095324
"354",41,"Oregon",2006,2689,8.1022120448909,37.6831940265573
"355",41,"Oregon",2007,2645,7.34824388033781,36.1826223081374
"356",41,"Oregon",2008,2767,7.41165809336542,35.9309064045682
"357",41,"Oregon",2009,2740,7.75519307209002,35.681669062694
"358",41,"Oregon",2010,2618,5.92387132360498,35.0475363568187
"359",41,"Oregon",2011,2791,7.06034557889455,35.0862694979777
"360",42,"Pennsylvania",2002,10479,13.4332118779527,42.0363570980455
"361",42,"Pennsylvania",2003,10411,13.0550786599784,38.8674697808955
"362",42,"Pennsylvania",2004,10332,12.9753445798169,38.1739447370084
"363",42,"Pennsylvania",2005,10696,13.5645038130429,40.8437631213175
"364",42,"Pennsylvania",2006,10645,12.0238945747892,38.9956342860584
"365",42,"Pennsylvania",2007,10854,12.6450518161324,40.6128212091622
"366",42,"Pennsylvania",2008,10759,11.5176689422111,39.3820566366259
"367",42,"Pennsylvania",2009,10839,9.98285664547157,37.1474370367823
"368",42,"Pennsylvania",2010,10659,9.80924713143994,41.6083864916528
"369",42,"Pennsylvania",2011,10768,9.84220229222443,38.701222507423
"370",44,"Rhode Island",2002,906,10.4270401253438,41.1536400141871
"371",44,"Rhode Island",2003,878,10.9394995053984,40.1056128622953
"372",44,"Rhode Island",2004,905,10.134836734392,38.6483174883357
"373",44,"Rhode Island",2005,873,10.2423541730629,40.0245425174484
"374",44,"Rhode Island",2006,857,9.56652128929802,39.5464418455936
"375",44,"Rhode Island",2007,936,9.31868634816179,40.3082400788967
"376",44,"Rhode Island",2008,942,9.24278196275508,40.0106506917476
"377",44,"Rhode Island",2009,922,8.22582372015437,37.0755642035918
"378",44,"Rhode Island",2010,854,7.77959368770828,39.5714291668639
"379",44,"Rhode Island",2011,851,8.41004418297365,39.2299142092766
"380",45,"South Carolina",2002,3163,12.1805611191619,43.3038736505893
"381",45,"South Carolina",2003,3266,12.4148876735038,40.2376017443423
"382",45,"South Carolina",2004,3207,12.7374847300634,40.99099107662
"383",45,"South Carolina",2005,3456,13.1966712707502,42.1015321960047
"384",45,"South Carolina",2006,3478,12.8523153723033,43.8097733089912
"385",45,"South Carolina",2007,3608,12.8428016882123,44.8150942263937
"386",45,"South Carolina",2008,3596,11.4655234574896,42.7061396102005
"387",45,"South Carolina",2009,3750,9.78612029192633,37.7238027899283
"388",45,"South Carolina",2010,3707,10.5397436712477,41.6862803294316
"389",45,"South Carolina",2011,3726,10.3053387187412,42.1610809551175
"390",46,"South Dakota",2002,516,7.17541780462577,39.3288643521475
"391",46,"South Dakota",2003,519,8.0292870300396,39.5346049850649
"392",46,"South Dakota",2004,523,7.96169228913252,37.6129350704007
"393",46,"South Dakota",2005,527,7.8375435046299,39.5547425293062
"394",46,"South Dakota",2006,546,7.7179744833355,39.4592314714975
"395",46,"South Dakota",2007,559,7.85246395409241,38.1909189568571
"396",46,"South Dakota",2008,556,7.5986643774793,38.0417363183987
"397",46,"South Dakota",2009,546,7.83095896610939,35.9542194192985
"398",46,"South Dakota",2010,583,7.60806604231531,37.8047401469051
"399",46,"South Dakota",2011,557,7.12322494391992,38.4819399364338
"400",47,"Tennessee",2002,4309,12.4808369174475,44.0681682153363
"401",47,"Tennessee",2003,4710,12.6544603994609,43.0444457293638
"402",47,"Tennessee",2004,5161,12.1251902856588,41.4865851481235
"403",47,"Tennessee",2005,5315,13.220166467495,44.4200211247996
"404",47,"Tennessee",2006,5410,12.7078756941989,44.4980992358824
"405",47,"Tennessee",2007,5296,13.2746908272903,47.2778323519563
"406",47,"Tennessee",2008,5468,11.4267429689469,43.556368814085
"407",47,"Tennessee",2009,5684,9.76409767808664,39.4216596423642
"408",47,"Tennessee",2010,5634,10.8207127310198,43.9710337495238
"409",47,"Tennessee",2011,5596,9.95233741243726,43.231119377158
"410",48,"Texas",2002,12575,8.50473056092319,41.9551966071083
"411",48,"Texas",2003,12898,8.44834584635133,42.9560931072778
"412",48,"Texas",2004,12789,8.57672373771793,40.6974810027667
"413",48,"Texas",2005,13144,9.06088123803364,43.4151112053483
"414",48,"Texas",2006,12926,8.55194532565481,43.7452773451882
"415",48,"Texas",2007,13257,8.84793502095551,40.4825547026729
